 (cabinet)
" Churchill, W (cabinet)"
"Dunlavey, Tom (clinton)"
"Dunlop, Brigadier General Donald D. (clinton)"
"Dunlop, Donald D. (frus)"
"Dunlop, John T. (briefing)"
"Dunlop, John T. (frus)"
"Dunlop, John; Dunlop, John T. (clinton)"
"Dunlop, John; Dunlop, John T. (kissinger)"
"Dunlop, Robert (briefing)"
"Dunlop, Robert (frus)"
Dunn John M. (clinton)
"Dunn, Courtenay (clinton)"
"Dunn, David (clinton)"
"Dunn, David B. (briefing)"
"Dunn, David B. (frus)"
"Dunn, Edward (clinton)"
"Dunn, James C.; Dunn, James Clement (clinton)"
"Dunn, James Clement (briefing)"
"Dunn, James Clement (frus)"
"Dunn, John M. (briefing)"
"Dunn, John M. (clinton)"
"Dunn, John M. (frus)"
"Dunn, Paxton T. (frus)"
"Dunn, William C. (clinton)"
"Dunn, William C. (frus)"
"Dunnell, R (cabinet)"
"Dunnigan, Thomas J. (frus)"
"Dunning, John R. (briefing)"
"Dunning, John R. (clinton)"
"Dunning, John R. (frus)"
"Dunsmore, Barrie (briefing)"
"Dunsmore, Barrie (frus)"
"Dunsmore, Barry (clinton)"
"Dunsmore, Barry (kissinger)"
Duong Ngoc Lam (briefing)
Duong Ngoc Lam (frus)
"Duong Ngoc Lam, Colonel (clinton)"
"Duong Van (""Big"") Minh, Major General; Duong Van Minh (""Big Minh"") (clinton)"
Duong Van Duc (briefing)
Duong Van Duc (clinton)
Duong Van Duc (frus)
Duong Van Hieu (briefing)
Duong Van Hieu (clinton)
Duong Van Hieu (frus)
"Duong Van Minh (""Big Minh""), Major General (clinton)"
Duong Van Minh (Big Minh) (clinton)
Duong Van Minh (clinton)
"Dupong, Pierre (briefing)"
"Dupong, Pierre (clinton)"
"Dupong, Pierre (frus)"
"Dupret, Marcel (briefing)"
"Dupret, Marcel (clinton)"
"Dupret, Marcel (frus)"
"Dupuy, Alex (clinton)"
"Duran Neumann, Julio (clinton)"
"Durao, Jose Manuel (briefing)"
"Durao, Jose Manuel (frus)"
"Durbin, Andrew (clinton)"
"Durbrow, Elbridge (briefing)"
"Durbrow, Elbridge (clinton)"
"Durbrow, Elbridge (frus)"
"Durfee, James R. (briefing)"
"Durfee, James R. (clinton)"
"Durfee, James R. (frus)"
"Durham, Carl T. (briefing)"
"Durham, Carl T. (clinton)"
"Durham, Carl T. (frus)"
"Durham, Deborah (frus)"
"Durham, John Stephens (briefing)"
"Durham, John Stephens (frus)"
"Durma, Mircea (frus)"
"Durmer, Kris (clinton)"
"Durmic, Adi (clinton)"
"Durnan, James J. (clinton)"
"Durnan, James J. (frus)"
"Durno, George H. E. (frus)"
"Duroc-Danner, Henri (frus)"
"Durrani, S.U. (briefing)"
"Durrani, S.U. (frus)"
"Durrant, A (cabinet)"
"Duryea, Kimberly (clinton)"
"Durzhansky, Angel (frus)"
"DurÃ¡n Neumann, Julio (briefing)"
"Durán Neumann, Julio (frus)"
"Dussault, Phil (frus)"
"Dustin, Eben Howard (frus)"
"Dutra Neves, Hélio (cpdoc)"
"Dutra, Edgar (cpdoc)"
"Dutra, Gaspar (briefing)"
"Dutra, Gaspar (frus)"
"Dutton, Frederick G. (clinton)"
"Dutton, Frederick Gary (briefing)"
"Dutton, Frederick Gary (frus)"
"Duvalier, Francois (clinton)"
"Duvalier, FranÃ§ois (briefing)"
"Duvalier, François (cpdoc)"
"Duvalier, François (frus)"
"Duvalier, Jean-Claude (briefing)"
"Duvalier, Jean-Claude (frus)"
"Duvalier, Simone (briefing)"
"Duvalier, Simone (frus)"
"Duvall, Frank E. (frus)"
"Duvieusart, Jean (briefing)"
"Duvieusart, Jean (clinton)"
"Duvieusart, Jean (frus)"
"Duvivier, Michelle (clinton)"
"Dwan, John E. (frus)"
"Dwan, John E., Lieutenant Colonel (clinton)"
"Dwinell, Lane (briefing)"
"Dwinell, Lane (frus)"
"Dworken, Morton (clinton)"
"Dworken, Morton (frus)"
"Dworkin, Douglas A. (clinton)"
"Dworkin, Douglas A. (frus)"
"Dwyer, Stuart (clinton)"
"Dwyer, Stuart (frus)"
"Dyess, William J. (clinton)"
"Dyess, William Jennings (briefing)"
"Dyess, William Jennings (frus)"
"Dyke, A (cabinet)"
"Dyke, Nancy Bearg (frus)"
"Dzurinda, Mikulas (briefing)"
"Dzurinda, Mikulas (frus)"
"DÃÂ¶nges, Theophilius Ebenhaezer (briefing)"
"DÃÂ¶nitz, Karl (briefing)"
"DÃ­az Casanueva, Humberto (briefing)"
"DÃ­az, Carlos Enrique (briefing)"
"DÃ­az, Porfirio (briefing)"
"DÆ°Æ¡ng, VÄn Minh (âBig Minhâ) (briefing)"
"Dácio Afonso Miranda, José (cpdoc)"
"DâAguiar, Peter S. (briefing)"
"DâAnethan, Roland (briefing)"
"DâArcy, Jean (briefing)"
"DâOrlandi, Giovanni (briefing)"
"DâAlema, Massimo (briefing)"
"DâAmato, Al (briefing)"
"Díaz Casanueva, Humberto (frus)"
"Díaz Granados, Manuel (frus)"
"Díaz Ordóñez, Virgilio (frus)"
"Díaz, Carlos Enrique (frus)"
"Díaz, Polibio (frus)"
"Díaz, Porfirio (frus)"
"Dória, Sampaio (cpdoc)"
"Dönges, Theophilius Ebenhaezer (frus)"
"Dönitz, Karl (frus)"
"Dương, Văn Minh (“Big Minh”) (frus)"
"D‘Aguiar, Peter S. (frus)"
"D‘Anethan, Roland (frus)"
"D‘Arcy, Jean (frus)"
"D‘Orlandi, Giovanni (frus)"
"D’Alema, Massimo (frus)"
"D’Amato, Al (frus)"
"Eacho, William Carlton, III (briefing)"
"Eacho, William Carlton, III (frus)"
"Eade, General George J. (Jim) (clinton)"
"Eade, George J. (Jim) (briefing)"
"Eade, George J. (Jim) (frus)"
"Eads, George (briefing)"
"Eads, George (clinton)"
"Eads, George (frus)"
"Eady, Wilfred (briefing)"
"Eady, Wilfred (frus)"
"Eagers, Derek (clinton)"
"Eagers, Derek (frus)"
"Eagleburger, Lawrence Sidney (briefing)"
"Eagleburger, Lawrence Sidney (frus)"
"Eagleburger, Lawrence; Eagleburger, Lawrence S. (clinton)"
"Eagleburger, Lawrence; Eagleburger, Lawrence S. (kissinger)"
"Eagleton, Thomas F. (briefing)"
"Eagleton, Thomas F. (clinton)"
"Eagleton, Thomas F. (frus)"
"Eagleton, William L. (clinton)"
"Eagleton, William L., Jr. (clinton)"
"Eagleton, William Lester, Jr. (briefing)"
"Eagleton, William Lester, Jr. (frus)"
"Eakens, Robert H.S. (clinton)"
"Eakens, Robert H.S. (frus)"
"Eaker, Ira C. (briefing)"
"Eaker, Ira C. (frus)"
"Ealons, Corey (clinton)"
"Ealum, James Maurice (briefing)"
"Ealum, James Maurice (frus)"
"Eames, Charles (briefing)"
"Eames, Charles (frus)"
"Eanes, Antonio dos Santos Ramalho (briefing)"
"Eanes, Antonio dos Santos Ramalho (frus)"
"Eanes, Ramalho (cpdoc)"
"Eareckson, William O. (briefing)"
"Eareckson, William O. (frus)"
"Earle, George Howard, III (briefing)"
"Earle, George Howard, III (frus)"
"Earle, L (cabinet)"
"Earle, Ralph II (clinton)"
"Earle, Ralph, II (briefing)"
"Earle, Ralph, II (clinton)"
"Earle, Ralph, II (frus)"
"Early, Stephen (briefing)"
"Early, Stephen (frus)"
"Earman, J. S.; Earman, S.J. (clinton)"
"Earman, John S. (briefing)"
"Earman, John S. (clinton)"
"Earman, John S. (frus)"
"East, Kyle (clinton)"
"Easterling, Aldis Byron (frus)"
"Eastham, Alan Walter, Jr. (briefing)"
"Eastham, Alan Walter, Jr. (frus)"
"Eastland, James O.; Eastland, James Oliver (clinton)"
"Eastland, James Oliver (briefing)"
"Eastland, James Oliver (frus)"
"Easum, Donald B. (clinton)"
"Easum, Donald B. (kissinger)"
"Easum, Donald Boyd (briefing)"
"Easum, Donald Boyd (frus)"
"Eaton, Charles A. (briefing)"
"Eaton, Charles A. (frus)"
"Eaton, Frederick M. (briefing)"
"Eaton, Frederick M. (clinton)"
"Eaton, Frederick M. (frus)"
"Eaton, John Henry (briefing)"
"Eaton, John Henry (frus)"
"Eaton, Samuel D. (clinton)"
"Eaton, Samuel D. (frus)"
"Eaton, William A. (briefing)"
"Eaton, William A. (frus)"
"Eaton, William F. (briefing)"
"Eaton, William F. (frus)"
"Eaves, John (briefing)"
"Eaves, John (clinton)"
"Eaves, John (frus)"
"Eban, Abba S. (briefing)"
"Eban, Abba S. (frus)"
"Eban, Abba; Eban, Abba S. (clinton)"
"Eban, Abba; Eban, Abbas (clinton)"
"Ebeling, Betsy (clinton)"
"Ebeling, Haley (clinton)"
"Ebeling, Voda (clinton)"
"Eberhardt, Charles Christopher (briefing)"
"Eberhardt, Charles Christopher (frus)"
"Eberhardt, Jeffrey (clinton)"
"Eberle, William Denman (briefing)"
"Eberle, William Denman (frus)"
"Eberle, William; Eberle, William D. (clinton)"
"Eberle, William; Eberle, William D. (kissinger)"
"Eberstadt, Ferdinand (briefing)"
"Eberstadt, Ferdinand (clinton)"
"Eberstadt, Ferdinand (frus)"
"Ebert, Friedrich, Jr. (briefing)"
"Ebert, Friedrich, Jr. (frus)"
"Ebert, Friedrich, Sr. (briefing)"
"Ebert, Friedrich, Sr. (frus)"
"Ebtehaj, Abol Hasan (Abolhassan); Ebtehaj, Abol Hassan (clinton)"
"Ebtehaj, Abol Hassan (frus)"
Eccles (cabinet)
"Eccles, D (cabinet)"
"Ecevit, Bulent (briefing)"
"Ecevit, Bulent (clinton)"
"Ecevit, Bulent (frus)"
"Ecevit, Bulent (kissinger)"
"Echandi Jimenez, Mario (clinton)"
"Echandi JimÃ©nez, Mario (briefing)"
"Echandi Jiménez, Mario (frus)"
"Echard, John (clinton)"
"Echavarria, General Rafael Rodriguez (clinton)"
"Echavarria, Rafael Rodriguez (frus)"
"Echaveste, Maria (briefing)"
"Echaveste, Maria (frus)"
"Echeverria Alvarez, Luis; Echeverria, Luis (clinton)"
"Echeverria, Luis (briefing)"
"Echeverria, Luis (frus)"
"Echols, Oliver P. (briefing)"
"Echols, Oliver P. (frus)"
"Eckardt, Felix von (clinton)"
"Eckerd, Jack (briefing)"
"Eckerd, Jack (frus)"
"Eckert, Ellen (clinton)"
"Eckert, Fred J. (briefing)"
"Eckert, Fred J. (frus)"
"Eckhardt, Felix von (briefing)"
"Eckhardt, Felix von (clinton)"
"Eckhardt, Felix von (frus)"
"Eckhardt, George S. (frus)"
"Eckhardt, Major General George S. (clinton)"
"Eckholm, Erik (clinton)"
"Eckholm, Erik (frus)"
"Eckhouse, Sara (clinton)"
"Eckstein, Otto (briefing)"
"Eckstein, Otto (clinton)"
"Eckstein, Otto (frus)"
"Ecobesco, Nicolae (frus)"
"Economides, Marcos (frus)"
"Economou-Gouras, Paul (briefing)"
"Economou-Gouras, Paul (clinton)"
"Economou-Gouras, Paul (frus)"
"Edde, Pierre (clinton)"
"Edde, Pierre (frus)"
"Eddis, Charlotte (clinton)"
"Eddleman, Clyde D. (briefing)"
"Eddleman, Clyde D. (frus)"
"Eddleman, General Clyde D. (clinton)"
"Eddleman, Lieutenant General Clyde D.; Eddleman, Major General Clyde D. (clinton)"
"Eddy, Colonel William A.; Eddy, William A. (clinton)"
"Eddy, Donald B. (clinton)"
"Eddy, Donald B. (frus)"
"Eddy, Lieutenant General Manton S. (clinton)"
"Eddy, Manton S. (briefing)"
"Eddy, Manton S. (frus)"
"Eddy, Spencer Fayette (briefing)"
"Eddy, Spencer Fayette (frus)"
"Eddy, William Alfred (briefing)"
"Eddy, William Alfred (frus)"
"EddÃ©, Raymond (briefing)"
"Eddé, Raymond (frus)"
"Ede, James C. (briefing)"
"Ede, James C. (frus)"
"Edelman, Eric S. (briefing)"
"Edelman, Eric S. (frus)"
"Edelman, Mark L. (frus)"
"Edelman, Martin (clinton)"
"Edelman, Marty (clinton)"
"Edelman, Peter (clinton)"
"Edelman, Samuel (frus)"
"Edelstein, Julius C.C. (frus)"
"Edelsten, J (cabinet)"
"Edelston, John H. (briefing)"
"Edelston, John H. (frus)"
"Eden, A (cabinet)"
"Eden, Anthony (briefing)"
"Eden, Anthony (cabinet)"
"Eden, Anthony (frus)"
"Eden, Anthony; Eden, Anthony (Sir Anthony from 1954); Eden, Rt. Hon. Sir Anthony; Eden, Sir Anthony (clinton)"
"Eden, Beatrice (briefing)"
"Eden, Beatrice (frus)"
"Eden, J (cabinet)"
"Eden, R (cabinet)"
"Edgar, Donald (clinton)"
"Edgar, Donald (frus)"
"Edgar, William (briefing)"
"Edgar, William (frus)"
"Edgcumbe, Oliver Pearce (briefing)"
"Edgcumbe, Oliver Pearce (frus)"
"Edge, W (cabinet)"
"Edge, Walter Evans (briefing)"
"Edge, Walter Evans (frus)"
"Edgerton, Glen E. (briefing)"
"Edgerton, Glen E. (frus)"
"Edgerton, Glen E.; Edgerton, Major General Glen E.; Edgerton, Major General Glen E. (ret.) (clinton)"
"Edgeworth Johnstone, W (cabinet)"
"Edgeworth-Johnstone, W (cabinet)"
"Edleston, J (cabinet)"
"Edmond, Lester E. (clinton)"
"Edmond, Lester E. (frus)"
"Edmondson, J (cabinet)"
"Edmondson, Susan (clinton)"
"Edmondson, William B. (clinton)"
"Edmondson, William B. (kissinger)"
"Edmondson, William Brockway (briefing)"
"Edmondson, William Brockway (frus)"
"Edmondson.<surname></persname, J (cabinet)"
"Edmonson, J (cabinet)"
"Edmonson, Susan (clinton)"
"Edmund Ironside, E (cabinet)"
"Edney, Balis M. (frus)"
"Eduardo de Paula Machado, Francisco (cpdoc)"
"Eduardo dos Santos, José (cpdoc)"
Edward VII (briefing)
Edward VII (cpdoc)
Edward VII (frus)
"Edwards Eastman, AgustÃ­n (briefing)"
"Edwards Eastman, Agustín (frus)"
"Edwards Valdes, Jorge (briefing)"
"Edwards Valdes, Jorge (frus)"
"Edwards, Alicia (clinton)"
"Edwards, Benjamin (clinton)"
"Edwards, Bert T. (frus)"
"Edwards, Christopher (clinton)"
"Edwards, Colonel Sheffield (USA) (clinton)"
"Edwards, Don (briefing)"
"Edwards, Don (clinton)"
"Edwards, Don (frus)"
"Edwards, Harry (clinton)"
"Edwards, J (cabinet)"
"Edwards, James B. (briefing)"
"Edwards, James B. (frus)"
"Edwards, L (cabinet)"
"Edwards, N (cabinet)"
"Edwards, Ninian (briefing)"
"Edwards, Ninian (frus)"
"Edwards, Richard S. (frus)"
"Edwards, Sheffield (frus)"
"Edwards, W (cabinet)"
"Edwards, William Jackson (Jack) (briefing)"
"Edwards, William Jackson (Jack) (clinton)"
"Edwards, William Jackson (Jack) (frus)"
"Effiong, Major-General Philip (clinton)"
"Effiong, Philip (briefing)"
"Effiong, Philip (frus)"
"Efird, Cynthia Grissom (briefing)"
"Efird, Cynthia Grissom (frus)"
"Efron, Sonni (clinton)"
"Efteland, Robert G. (frus)"
"Egal, Mohammed Haji Ibrahim (briefing)"
"Egal, Mohammed Haji Ibrahim (frus)"
"Egal, Mohammed Ibrahim (clinton)"
"Egan, Brian James (frus)"
"Egan, Christopher (briefing)"
"Egan, Christopher (frus)"
"Egan, Maurice Francis (briefing)"
"Egan, Maurice Francis (frus)"
"Egan, Patrick (frus)"
"Egan, Richard J. (briefing)"
"Egan, Richard J. (frus)"
"Egan, Wesley William, Jr. (briefing)"
"Egan, Wesley William, Jr. (frus)"
"Egberg, Roger O. (briefing)"
"Egberg, Roger O. (frus)"
"Egeland, Lief (frus)"
"Egeli, Yusuf Adil (briefing)"
"Egeli, Yusuf Adil (frus)"
"Eger, John M. (clinton)"
"Eger, John M. (frus)"
"Egerton, Walter (briefing)"
"Egerton, Walter (frus)"
Eggar (cabinet)
"Eggerath, Werner (briefing)"
"Eggerath, Werner (clinton)"
"Eggerath, Werner (frus)"
"Eggers, Jeff (clinton)"
"Eggleston, Frederic (briefing)"
"Eggleston, Frederic (frus)"
"Eghbal, Manuchehr (briefing)"
"Eghbal, Manuchehr (frus)"
"Egydio Martins, Paulo (cpdoc)"
"Ehard, Hans (briefing)"
"Ehard, Hans (frus)"
"Ehlers, Hermann (briefing)"
"Ehlers, Hermann (clinton)"
"Ehlers, Hermann (frus)"
"Ehlert, Margarete (briefing)"
"Ehlert, Margarete (frus)"
"Ehmke, Horst (briefing)"
"Ehmke, Horst (clinton)"
"Ehmke, Horst (frus)"
"Ehrlich, Simha (briefing)"
"Ehrlich, Simha (frus)"
"Ehrlich, Thomas (briefing)"
"Ehrlich, Thomas (clinton)"
"Ehrlich, Thomas (frus)"
"Ehrlichman, John D. (briefing)"
"Ehrlichman, John D. (frus)"
"Ehrlichman, John; Ehrlichman, John D.; Ehrlichman, John D., (clinton)"
"Ehrman, Sara (clinton)"
"Eich, Wilhelm K. (frus)"
"Eichensehr, Kristen (clinton)"
"Eichler, Willi G. (briefing)"
"Eichler, Willi G. (clinton)"
"Eichler, Willi G. (frus)"
"Eid Al-Sulaiti, Abdulla (clinton)"
"Eidenberg, Eugene (“Gene”) (frus)"
"Eikenberry, Ching (clinton)"
"Eikenberry, Karl (clinton)"
"Eikenberry, Karl Winfrid (briefing)"
"Eikenberry, Karl Winfrid (frus)"
"Eil, Andrew (clinton)"
"Eilberg, Joshua (briefing)"
"Eilberg, Joshua (clinton)"
"Eilberg, Joshua (frus)"
"Eilts, Hermann F. (clinton)"
"Eilts, Hermann F. (kissinger)"
"Eilts, Hermann Frederick (briefing)"
"Eilts, Hermann Frederick (frus)"
"Einaudi, Luigi (briefing)"
"Einaudi, Luigi (clinton)"
"Einaudi, Luigi (cpdoc)"
"Einaudi, Luigi (frus)"
"Einaudi, Luigi R. (briefing)"
"Einaudi, Luigi R. (cpdoc)"
"Einaudi, Luigi R. (frus)"
"Einek, M. Michael (frus)"
"Einhom, Robert (clinton)"
"Einhorn, Jessica P. (briefing)"
"Einhorn, Jessica P. (frus)"
"Einhorn, Robert (clinton)"
"Einhorn, Robert J. (frus)"
"Einstein, Albert (cpdoc)"
"Einstein, Lewis David (briefing)"
"Einstein, Lewis David (frus)"
"Eiriz, Silvia (clinton)"
"Eisele, Albert A. (clinton)"
"Eisele, Albert A. (frus)"
"Eisen, Norman L. (briefing)"
"Eisen, Norman L. (frus)"
"Eisenberg, Robert (clinton)"
"Eisenberg, Robert (frus)"
"Eisendrath, Craig R. (frus)"
"Eisenhower, Anne (clinton)"
"Eisenhower, Dwight D. (briefing)"
"Eisenhower, Dwight D. (cpdoc)"
"Eisenhower, Dwight D. (frus)"
"Eisenhower, John S.D. (clinton)"
"Eisenhower, John S.D.; Eisenhower, Maj. John S.D.; Eisenhower, Major (then Lieutenant Colonel) John S. D.; Eisenhower, Major John D.; Eisenhower, Major John S. D.; Eisenhower, Major John S. D. (Lieutenant Colonel from May 31, 1960); Eisenhower, Major John S.D. (clinton)"
"Eisenhower, John Sheldon Doud (briefing)"
"Eisenhower, John Sheldon Doud (frus)"
"Eisenhower, Julie (briefing)"
"Eisenhower, Julie (clinton)"
"Eisenhower, Julie (frus)"
"Eisenhower, Milton S. (briefing)"
"Eisenhower, Milton S. (frus)"
"Eisenhower, Milton; Eisenhower, Milton S. (clinton)"
"Eisenhower; Eisenhower, Dwight D; Eisenhower, Dwight D.; Eisenhower, Dwight David; Eisenhower, General Dwight D.; Eisenhower, General of the Army Dwight D. (clinton)"
"Eisenhower; Eisenhower, Dwight D; Eisenhower, Dwight D.; Eisenhower, Dwight David; Eisenhower, General Dwight D.; Eisenhower, General of the Army Dwight D. (kissinger)"
"Eisler, Gerhart (briefing)"
"Eisler, Gerhart (clinton)"
"Eisler, Gerhart (frus)"
"Eitan, Rafael (briefing)"
"Eitan, Rafael (frus)"
"Eizenstadt, Stuart C. (briefing)"
"Eizenstadt, Stuart C. (frus)"
"Eizenstat, Stuart E. (briefing)"
"Eizenstat, Stuart E. (frus)"
"Eizenstat, Stuart e. (cpdoc)"
"Eizenstat, Stuart; Eizenstat, Stuart E. (clinton)"
Ek Proeung (briefing)
Ek Proeung (frus)
"Ekangaki, Nzo (briefing)"
"Ekangaki, Nzo (clinton)"
"Ekangaki, Nzo (frus)"
"Ekengren, W. A. F. (briefing)"
"Ekengren, W. A. F. (frus)"
"Eklund, Sigvard (briefing)"
"Eklund, Sigvard (clinton)"
"Eklund, Sigvard (cpdoc)"
"Eklund, Sigvard (frus)"
"Ekwensi, Cyprian (briefing)"
"Ekwensi, Cyprian (frus)"
"El Abd, Salah (clinton)"
"El Abd, Salah (frus)"
"El Emary (Emari), Abdel Galil (briefing)"
"El Emary (Emari), Abdel Galil (frus)"
"El Emary (Emari), Dr. Abdel Galil; El Gereitly (Geritli), Dr. Ali (clinton)"
"El Gereitly (Geritli), Ali (frus)"
"El Goulli, Slaheddine (clinton)"
"El Goulli, Slaheddine (frus)"
"El Mahdi, Abdul Rahman (briefing)"
"El Mahdi, Abdul Rahman (frus)"
"El Mahdi, Sayed Sir Abdul Rahman (clinton)"
"El Maraghi, Mortada (frus)"
"El Maraghi, Mortada; El Mulki (Mulqui), Dr. Fawzi (clinton)"
"El Shawa, Hisham (cpdoc)"
"El-Ainy, Muhsin (briefing)"
"El-Ainy, Muhsin (clinton)"
"El-Ainy, Muhsin (frus)"
"El-Erian (Iryan), Abdallah (frus)"
"El-Glaoui, Thami (briefing)"
"El-Glaoui, Thami (clinton)"
"El-Glaoui, Thami (frus)"
"El-Hassouna, Mohammed Abdel-Khalek (clinton)"
"El-Husseiny, Mohamed (clinton)"
"El-Kaissouny (Kaisouni), Abdel Moneim (clinton)"
"El-Yafi, Abdallah (briefing)"
"El-Yafi, Abdallah (frus)"
"El-Zayyat, Mohammed (clinton)"
"El-Zayyat, Mohammed (kissinger)"
"Elam-Thomas, Harriet L. (briefing)"
"Elam-Thomas, Harriet L. (frus)"
Elaraby Nabil (briefing)
Elaraby Nabil (frus)
"Elath, Eliahu (briefing)"
"Elath, Eliahu (clinton)"
"Elath, Eliahu (frus)"
"Elazar, David (briefing)"
"Elazar, David (frus)"
"Elazar, David; Elazar, General David (clinton)"
"Elbegdori, Tsakina (clinton)"
"Elbegdorj, Tsakhia (briefing)"
"Elbegdorj, Tsakhia (frus)"
"Elbrick, C. Burke; Elbrick, Charles B.; Elbrick, Charles Burke (clinton)"
"Elbrick, Charles Burke (briefing)"
"Elbrick, Charles Burke (frus)"
"Eldem, Sadi (briefing)"
"Eldem, Sadi (clinton)"
"Eldem, Sadi (frus)"
"Elder, Christine (clinton)"
"Elder, Walter (clinton)"
"Elder, Walter (frus)"
"Eldin, Gerard (frus)"
"EldjÃ¡rn, KristjÃ¡n (briefing)"
"Eldjárn, Kristján (frus)"
"Eldridge, Richard (frus)"
"Elekdag, Sukru (briefing)"
"Elekdag, Sukru (clinton)"
"Elekdag, Sukru (frus)"
"Eleta Almaran, Fernando (clinton)"
"Eleta Almaran, Fernando (frus)"
"Elfes, Wilhelm (briefing)"
"Elfes, Wilhelm (clinton)"
"Elfes, Wilhelm (frus)"
"Elfin, Mel (clinton)"
"Elfin, Mel (kissinger)"
"Elias, Asad (clinton)"
"Elias, Asad (frus)"
"Elias, Jorge Serrano (briefing)"
"Elias, Jorge Serrano (frus)"
"Eliot, Theodore L.; Eliot, Theodore L., Jr. (clinton)"
"Eliot, Theodore Lyman, Jr. (briefing)"
"Eliot, Theodore Lyman, Jr. (frus)"
"Eliss, Harry (briefing)"
"Eliss, Harry (frus)"
Elizabeth II (briefing)
Elizabeth II (cpdoc)
Elizabeth II (frus)
"Elizur, Michael (clinton)"
"Elizur, Michael (frus)"
"Elkind, Jonathan (clinton)"
"Elkins, R (cabinet)"
"Elkus, Abram Isaac (briefing)"
"Elkus, Abram Isaac (frus)"
"Elle Magazine, Elle Magazine (clinton)"
"Ellegood, William C. (frus)"
"Ellender, Allen J. (briefing)"
"Ellender, Allen J. (clinton)"
"Ellender, Allen J. (frus)"
"Ellerkmann, Richard (clinton)"
"Ellerkmann, Richard (frus)"
"Ellerman, Alfred Denny (frus)"
"Ellerman, J (cabinet)"
"Ellice, Douglas V., Jr. (frus)"
"Ellington, Buford (briefing)"
"Ellington, Buford (clinton)"
"Ellington, Buford (frus)"
"Ellington, E (cabinet)"
"Ellingwood, Claudia (clinton)"
"Elliot, Air Chief Marshal Sir William; Elliot, Sir William (clinton)"
"Elliot, F (cabinet)"
"Elliot, Michael (clinton)"
"Elliot, Theodore L., Jr. (clinton)"
"Elliot, W (cabinet)"
"Elliot, William (briefing)"
"Elliot, William (frus)"
"Elliott Trudeau, Pierre (cpdoc)"
"Elliott, David D. (frus)"
"Elliott, David; Elliott, David D. (clinton)"
"Elliott, Maria (clinton)"
"Elliott, Sir William (clinton)"
"Elliott, Susan (clinton)"
"Elliott, Susan Marsh (frus)"
"Elliott, William Y. (briefing)"
"Elliott, William Y. (clinton)"
"Elliott, William Y. (frus)"
"Ellis, C (cabinet)"
"Ellis, Clark N. (frus)"
"Ellis, Kirk (clinton)"
"Ellis, Powhatan (briefing)"
"Ellis, Powhatan (frus)"
"Ellis, Vespasian (frus)"
"Ellis, William A. (briefing)"
"Ellis, William A. (clinton)"
"Ellis, William A. (frus)"
"Ellison, Janine (clinton)"
"Ellsworth, Henry William (briefing)"
"Ellsworth, Henry William (frus)"
"Ellsworth, Robert F.; Ellsworth, Robert Fred; Ellsworth, Robert (clinton)"
"Ellsworth, Robert F.; Ellsworth, Robert Fred; Ellsworth, Robert (kissinger)"
"Ellsworth, Robert Fred (briefing)"
"Ellsworth, Robert Fred (frus)"
"Elmendorf, Steve (clinton)"
"Elrod, Warrick E. (frus)"
"Elsey, George M. (briefing)"
"Elsey, George M. (clinton)"
"Elsey, George M. (frus)"
"Elson, Edward Elliot (briefing)"
"Elson, Edward Elliot (frus)"
"Elston, John A. (briefing)"
"Elston, John A. (frus)"
"Elting, Howard, Jr. (clinton)"
"Elting, Howard, Jr. (frus)"
"Eltz, Regina M. (cpdoc)"
"Eltz, Regina M. (frus)"
"Elwood, Robert B. (clinton)"
"Elwood, Robert B. (frus)"
"Elworthy, C (cabinet)"
Elwyn-Jones (cabinet)
"Ely, General Paul; Ely, General Paul H.; Ely, General Paul H. R.; Ely, General Paul H.R.; Ely, Paul; Ely, Paul, General (clinton)"
"Ely, Michael E.C. (frus)"
"Ely, Paul H.R. (frus)"
"Ely-Raphel, Nancy Halliday (briefing)"
"Ely-Raphel, Nancy Halliday (frus)"
"Elysio Saraiva Guerreiro, Ramiro (cpdoc)"
"Emami, Jafar Sharif (briefing)"
"Emami, Jafar Sharif (clinton)"
"Emami, Jafar Sharif (frus)"
"Embick, Stanley D. (briefing)"
"Embick, Stanley D. (frus)"
"Emelyanov, V.S. (clinton)"
"Emelyanov, V.S. (frus)"
"Emerson, David F. (clinton)"
"Emerson, David F. (frus)"
"Emerson, John Bonnell (briefing)"
"Emerson, John Bonnell (frus)"
"Emery, David Farnham (briefing)"
"Emery, David Farnham (clinton)"
"Emery, David Farnham (frus)"
"Emery, George H. (clinton)"
"Emery, George H. (frus)"
"Emmerglick, Leonard J. (clinton)"
"Emmerglick, Leonard J. (frus)"
"Emmerson, John K. (briefing)"
"Emmerson, John K. (clinton)"
"Emmerson, John K. (frus)"
"Emmet, Grenville Temple (briefing)"
"Emmet, Grenville Temple (frus)"
"Emminger, Otmar (briefing)"
"Emminger, Otmar (clinton)"
"Emminger, Otmar (frus)"
"Emmons, Arthur B., III (clinton)"
"Emmons, Arthur B., III (frus)"
"Emmons, Robert (briefing)"
"Emmons, Robert (frus)"
"Emrick, Lieutenant General Paul S. (clinton)"
"Emrick, Paul S. (frus)"
"Emrys Evans, P (cabinet)"
"Emrys-Evans, P (cabinet)"
"Emsis, Indulis (briefing)"
"Emsis, Indulis (frus)"
"En Lai, Chou (cpdoc)"
"Enahoro, Anthony (briefing)"
"Enahoro, Anthony (cpdoc)"
"Enahoro, Anthony (frus)"
